Attendance Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Time:2026/01/02 10:43:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made Date:2025/12/01-2025/12/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee ID,Name,Department,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,DIALYSIS,"09:40
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,DIALYSIS,"07:53
12:01
12:25
17:11
","07:57
12:03
12:21
17:01
","08:00
12:01
12:30
17:01
","07:56
12:04
12:28
17:00
","07:52
12:01
12:19
17:01
",,,"07:59
17:01
","07:58
12:03
12:26
17:01
","07:57
12:07
12:27
12:27
17:00
","07:56
07:57
12:04
12:28
17:33
","07:56
12:03
12:20
17:18
",,,"07:29
12:03
12:22
17:05
17:05
","07:56
12:04
12:29
17:02
","07:56
12:07
12:25
17:00
","07:41
12:05
12:30
17:02
","07:57
12:01
12:20
17:02
",,,"07:52
07:52
12:04
12:22
17:09
17:09
","07:50
07:51
12:01
12:32
17:01
","07:53
12:01
12:34
17:00
","07:52
12:05
12:20
17:00
","07:49
12:03
12:25
17:00
","07:48
12:01
12:34
17:01
",,"07:36
12:02
13:22
","07:23
12:04
12:21
14:00
",
340,,DIALYSIS,"07:53
12:01
12:21
",,,"07:56
12:09
12:19
17:00
","07:34
12:01
12:35
17:00
","07:56
12:14
12:38
17:00
",,"07:53
12:01
12:37
17:01
","07:49
12:03
12:22
17:01
","07:58
12:16
17:00
","07:58
12:02
12:33
17:32
","07:52
12:01
12:21
17:07
","07:42
12:02
12:15
16:47
",,"12:03
12:22
17:00
","07:51
12:03
12:29
17:01
","07:50
12:03
12:21
17:01
","07:44
12:11
12:29
17:02
","07:49
12:00
17:01
","07:43
12:02
12:17
17:03
",,"07:46
12:03
17:02
","07:53
12:01
12:18
17:00
",,,"07:49
12:04
17:01
","07:41
12:01
12:34
17:01
",,"07:51
12:01
","07:44
12:12
12:41
17:00
","07:26
12:03
12:29
17:00
"
323,,DIALYSIS,"06:03
12:15
12:27
17:00
",,"07:54
12:08
12:24
17:00
","08:01
12:11
12:24
17:02
","07:48
12:10
12:31
17:00
",,,"07:44
12:07
12:42
17:04
","07:47
12:09
12:18
17:01
","07:56
12:07
12:24
17:01
","07:55
12:28
12:42
17:32
","07:56
12:15
12:36
17:00
",,,"07:46
12:03
12:27
17:09
","07:50
12:04
12:19
17:23
","07:56
12:01
12:18
17:00
","07:58
12:29
12:46
20:20
","07:50
12:08
12:31
17:36
",,,"07:48
12:00
12:28
17:07
","07:50
12:01
12:17
17:01
","07:52
12:02
12:16
17:00
",,,,,,"07:58
12:18
12:41
17:01
","08:01
12:04
12:25
15:01
"
501,,DIALYSIS,"06:03
12:15
12:27
17:00
","07:15
12:12
12:25
17:01
","07:18
12:08
12:24
17:00
","07:15
12:11
12:23
17:00
","07:29
12:10
12:31
17:00
",,,"07:46
12:08
12:42
17:04
","07:14
12:09
12:18
17:01
","06:52
12:07
12:24
17:01
","07:18
12:28
12:41
17:32
","07:32
12:15
12:35
17:00
",,,,"07:50
12:05
12:19
17:02
","07:51
12:01
12:18
17:00
","07:38
12:20
12:30
17:06
","07:49
12:08
12:32
17:01
","07:49
12:02
12:14
17:01
",,,"07:53
12:01
12:17
17:01
","07:40
12:02
12:16
17:01
","07:40
12:01
12:14
","07:49
12:00
12:13
17:00
","06:17
12:02
12:16
17:01
",,,"07:50
12:18
12:41
17:01
","07:38
12:04
12:25
14:02
"
69,,DIALYSIS,"07:38
12:00
12:37
17:11
","07:45
12:07
12:44
17:08
","07:52
12:18
12:33
17:06
","07:51
17:45
","07:56
12:02
12:31
17:02
",,,,"07:42
12:06
12:26
17:10
","07:53
12:03
12:32
17:10
","07:57
12:04
12:28
17:33
","08:07
12:24
12:48
",,,"07:58
12:03
12:41
17:38
","08:01
12:04
12:32
17:35
","08:10
12:45
","08:14
12:29
12:52
17:14
","08:06
12:26
12:59
17:15
",,,"07:46
12:12
12:29
17:15
","08:00
12:02
12:18
17:35
",,,"08:14
12:05
12:26
",,,"07:59
15:35
",,
46,,DIALYSIS,"07:50
12:00
12:37
17:12
","07:56
12:07
12:43
17:08
","07:57
12:00
12:18
12:20
17:16
","07:55
17:45
","07:53
12:03
12:31
17:12
",,,"07:52
12:04
12:22
17:02
","07:27
12:18
12:26
17:11
","07:53
12:03
12:29
","07:55
12:05
12:18
17:38
",,,,"07:38
12:10
12:41
17:38
","07:58
12:07
12:28
17:35
","07:51
12:06
12:18
17:01
","07:59
12:08
12:29
17:14
17:18
","08:01
12:29
12:59
17:28
",,,,,"07:40
12:16
12:43
14:27
","08:05
12:15
12:31
17:00
",,,,"07:47
15:35
","07:57
12:12
12:21
14:00
",
333,,DIALYSIS,,"08:01
12:23
12:38
17:01
","08:01
12:20
12:37
","07:56
12:10
12:20
17:00
","07:18
07:18
",,,"07:41
12:01
12:21
17:01
","07:51
12:03
12:30
17:01
","07:58
12:01
12:36
17:00
","07:55
12:02
12:33
17:33
","07:58
12:01
12:50
",,,"07:36
12:03
17:02
","07:33
12:04
12:27
17:01
","07:22
12:03
12:21
17:00
","07:23
12:10
12:41
17:00
","07:31
12:04
12:32
17:01
",,,"07:53
12:13
17:02
","07:36
12:04
12:41
17:00
","07:28
12:16
12:44
17:00
","07:26
12:00
12:14
17:00
","07:30
12:05
12:51
17:00
","07:18
12:04
12:14
17:00
",,"07:26
12:20
","06:57
12:05
12:41
",
