Attendance Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Time:2026/01/20 16:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made Date:2026/01/01-2026/01/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee ID,Name,Department,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,"08:16
12:04
12:24
",,,"08:01
12:23
12:49
17:15
","08:00
12:15
12:34
17:13
","08:01
12:10
12:57
17:08
","08:08
12:12
12:30
17:08
","08:04
",,,,"07:59
12:12
12:34
17:05
",,"08:06
12:11
17:05
","08:03
12:06
12:23
17:01
",,,"08:08
10:26
12:07
12:24
17:04
","08:01
12:07
12:32
",,,,,,,,,,,
148,,Admin,,,,,,"07:59
12:03
12:13
17:37
","12:08
12:51
17:07
","08:37
12:08
12:23
17:03
","12:58
13:01
17:14
",,,,,,,,,,,,,,,,,,,,,,
154,,Admin,,,,,"07:17
12:23
12:49
17:02
","07:47
12:02
12:11
17:02
","07:46
12:05
12:51
17:03
","12:03
12:18
17:05
","07:47
12:03
12:16
17:02
",,,"07:40
12:01
12:51
17:02
","08:02
12:22
12:47
17:01
","07:55
12:11
12:50
17:00
","07:55
17:00
","08:02
",,,"07:57
12:09
12:54
17:00
","08:20
12:02
12:53
",,,,,,,,,,,
307,,Admin,,,,,"12:05
12:49
17:03
","07:21
12:02
12:13
17:15
","06:51
12:01
12:51
17:03
17:04
","06:33
12:03
12:48
17:07
","07:10
12:03
12:47
17:04
",,,"06:55
12:08
13:03
17:05
","06:46
12:04
12:47
17:02
","06:46
12:03
12:47
17:01
","07:12
12:02
12:50
17:03
","07:19
",,,"06:36
12:43
12:54
17:01
","07:07
12:02
12:53
",,,,,,,,,,,
181,,Admin,,,,,"07:16
12:04
12:35
17:02
","07:58
12:02
12:41
17:02
","07:46
12:09
12:51
17:02
","08:12
12:20
12:48
17:06
","08:00
12:03
12:51
17:02
",,,"07:45
12:08
13:03
17:02
","07:57
12:04
12:46
17:01
","07:15
12:03
12:37
17:00
","07:40
12:02
12:33
17:00
","07:45
12:04
",,,"07:27
12:01
12:47
17:01
","07:42
12:02
12:52
",,,,,,,,,,,
302,,Admin,,"08:29
08:29
12:04
12:24
",,,"08:02
12:11
12:59
12:59
17:05
17:05
","08:16
12:07
12:07
12:12
17:07
","08:08
12:46
12:51
12:51
17:05
","08:18
17:05
17:05
","08:00
08:00
17:02
",,,"08:03
12:52
12:55
17:04
17:04
","08:07
12:44
12:47
17:05
17:05
","08:19
12:52
12:56
17:03
","08:14
12:34
12:37
17:02
","08:02
12:30
12:35
17:02
",,,"07:59
12:07
12:11
17:02
","08:03
12:06
12:14
",,,,,,,,,,,
265,,Admin,,,"07:44
12:01
12:12
17:01
",,"07:44
12:12
12:18
17:02
","07:49
12:02
12:09
17:08
","07:59
12:05
12:10
17:02
","07:37
12:10
12:17
17:14
","07:45
12:10
12:18
17:07
",,,"06:59
12:01
12:10
17:05
","07:48
12:31
12:40
17:05
","07:47
12:21
12:34
17:03
","07:46
12:03
12:10
17:05
","07:49
12:03
12:11
17:05
",,,"07:44
12:04
12:17
17:12
","07:48
12:23
12:29
",,,,,,,,,,,
42,,Admin,,,,,"07:23
12:06
12:10
17:03
","07:53
12:02
12:08
17:08
","07:48
12:05
12:08
17:05
","07:39
12:08
12:11
17:17
","07:41
12:06
12:09
17:12
",,,"06:59
12:01
12:10
","07:48
12:31
12:40
17:05
","07:47
12:21
12:34
17:03
","07:46
12:03
12:09
17:05
","07:49
12:04
12:11
17:06
",,,"07:23
12:04
12:15
17:12
","07:48
12:23
12:28
",,,,,,,,,,,
126,,Admin,,,,,"07:17
12:06
12:10
17:02
","07:53
12:02
12:09
17:08
","07:50
12:05
12:10
17:01
","07:39
12:05
12:08
17:16
","07:44
12:06
12:09
12:16
17:11
",,,"06:44
12:00
12:09
17:05
","07:47
12:31
12:41
17:05
","07:40
12:21
12:34
17:03
","07:51
12:03
12:09
17:05
","07:42
12:03
12:11
17:05
",,,,"07:25
12:23
12:28
",,,,,,,,,,,
16,,Admin,,,,,"07:29
12:22
12:33
17:10
","08:09
12:05
12:19
17:10
","08:02
12:09
12:41
17:25
","07:59
12:06
12:10
17:08
","07:59
12:16
12:53
17:21
",,,"07:39
12:02
12:16
18:16
","07:59
12:03
12:29
17:29
","08:04
12:04
12:55
17:37
","06:54
","07:31
",,,"07:38
12:01
12:10
17:33
","08:00
12:11
12:23
",,,,,,,,,,,
24,,Admin,,,,,"06:18
12:02
12:43
","06:54
12:18
12:45
17:10
","07:09
12:09
12:40
17:27
","06:58
12:01
12:38
17:11
",,,,"06:25
12:10
12:49
17:07
","06:49
12:02
17:07
","07:10
12:23
12:26
12:53
17:12
","07:08
12:05
12:23
17:16
","07:17
",,,"06:23
12:09
12:31
17:05
","07:07
12:13
12:34
",,,,,,,,,,,
150,,Admin,,,,,"06:50
12:43
13:02
17:03
","07:26
12:06
12:11
17:04
","07:32
12:05
17:01
","07:48
12:02
12:15
17:02
",,,,"07:11
12:04
12:14
17:02
","07:40
12:04
12:32
17:08
",,"07:47
12:06
12:20
17:02
","07:47
12:04
12:22
17:04
",,,"07:03
12:09
12:33
17:03
","07:28
12:04
12:19
",,,,,,,,,,,
19,,Admin,,,,,"07:17
12:05
12:36
17:05
","07:55
12:03
12:38
17:04
","07:46
12:05
13:03
17:01
","07:39
12:03
12:21
17:04
","07:53
12:12
12:33
17:06
",,,"07:10
12:11
12:37
17:03
","08:02
12:10
12:30
17:03
","07:54
12:02
12:32
17:01
","07:55
12:03
12:38
17:02
",,,,"07:13
12:10
12:42
17:03
","07:39
12:09
12:36
",,,,,,,,,,,
256,,Admin,,,,,"07:32
07:32
12:07
12:38
12:38
17:04
17:04
","07:11
07:11
12:12
12:12
12:19
12:19
17:03
17:03
",,"07:20
07:20
12:04
12:04
12:18
12:18
17:04
17:04
","07:10
07:10
12:12
12:12
12:38
12:38
17:06
17:06
",,,"07:27
07:27
07:27
12:11
12:11
12:33
12:33
12:52
12:53
17:02
17:02
","07:18
07:18
12:05
12:05
12:47
12:47
17:03
17:03
","07:26
07:26
12:04
12:04
12:19
12:19
12:35
12:35
17:01
17:01
","07:12
07:12
12:06
12:06
12:41
12:41
17:01
17:01
","07:19
07:19
12:09
12:10
12:26
12:26
17:04
17:04
",,,"06:50
06:50
12:12
12:13
12:30
12:30
17:02
17:02
","07:10
07:10
12:09
12:09
12:36
12:36
",,,,,,,,,,,
129,,Admin,,,,,"07:16
12:05
","07:22
12:50
13:00
17:18
17:22
","07:55
12:08
12:36
17:18
","07:44
12:19
12:46
17:14
17:15
","07:45
12:13
12:37
17:08
",,,"06:40
12:06
12:45
17:30
","07:34
12:08
12:20
17:17
","07:40
12:26
12:46
17:12
","07:54
12:10
12:36
17:21
","07:44
12:04
12:45
17:08
",,,"07:47
12:08
12:10
17:28
","07:28
12:19
12:29
",,,,,,,,,,,
119,,Admin,,,,,"07:34
12:05
12:51
","07:57
12:10
12:49
17:15
","07:52
12:07
12:36
17:12
","08:00
12:05
12:32
17:07
","08:00
12:11
12:51
17:07
",,,"07:33
12:08
12:45
17:07
","08:00
12:08
12:47
17:33
","07:57
12:07
12:38
17:11
","08:02
12:10
12:36
17:12
","07:55
12:04
12:44
17:08
17:10
",,,"07:25
12:08
12:47
17:25
17:28
","07:46
12:19
12:46
",,,,,,,,,,,
78,,Admin,,,,,"07:31
12:28
12:49
17:06
","08:00
12:02
12:11
17:38
","07:58
","07:55
12:07
12:14
","07:55
12:03
12:16
17:04
",,,"07:30
12:07
12:20
17:11
","08:00
12:04
12:47
17:06
","07:57
12:03
12:49
17:21
","08:01
12:08
12:45
17:21
","08:00
08:00
12:02
12:09
",,,"07:38
12:09
12:12
17:06
","07:53
12:04
12:53
",,,,,,,,,,,
254,,Admin,,,,,"07:42
12:03
12:12
17:07
","07:48
12:06
12:13
17:02
","07:57
12:04
12:11
12:20
17:29
","08:00
12:03
12:20
","08:05
12:02
12:10
17:02
",,,"07:46
12:01
12:12
","07:52
12:02
12:34
17:06
","08:03
12:06
12:23
17:06
","07:58
12:02
17:08
","07:40
12:02
12:35
17:09
",,,"12:11
12:20
17:06
","07:55
12:11
12:55
",,,,,,,,,,,
91,,Admin,,,,,,"07:52
12:07
12:11
17:15
","08:00
12:05
17:29
","08:07
12:11
12:19
17:15
","12:03
12:15
17:08
",,,"08:01
12:08
12:28
17:09
","07:48
12:07
12:34
17:09
","08:02
12:07
12:53
17:19
","08:07
12:06
17:18
","08:02
12:06
12:40
12:42
17:09
17:14
",,,"08:01
12:09
12:15
17:07
","08:01
12:02
12:12
",,,,,,,,,,,
70,,Admin,,,,,"07:31
12:29
12:33
17:10
","07:56
12:02
12:10
17:06
","07:53
12:08
12:36
17:04
","07:16
12:20
12:27
17:03
","08:01
12:03
12:08
17:00
",,,,"07:42
12:14
17:05
","07:58
12:02
12:56
17:02
","07:47
12:10
17:01
",,,,"07:38
12:03
12:10
17:04
","07:56
12:04
",,,,,,,,,,,
116,,Admin,,,,,"07:50
12:16
12:34
17:16
","08:49
12:19
12:33
17:04
","07:59
12:06
12:40
17:04
","08:01
12:27
12:49
17:09
","07:54
12:06
12:35
17:05
",,,"07:49
12:09
12:25
17:09
","07:54
12:20
12:32
17:01
","08:05
12:01
12:28
17:08
","07:58
13:01
17:21
",,,,"07:52
12:21
12:37
17:02
","08:01
12:11
12:31
",,,,,,,,,,,
300,,Admin,,,,,,"06:50
12:20
12:33
17:04
","07:06
12:09
12:40
17:05
","07:09
12:05
12:33
17:21
","07:32
12:50
17:03
",,,"06:57
12:01
12:25
17:08
","07:19
12:03
12:46
17:04
","07:04
12:25
12:37
17:27
","06:41
12:12
12:34
","06:46
12:29
12:45
",,,"10:10
12:47
12:58
17:09
","07:07
12:30
12:43
",,,,,,,,,,,
289,,Admin,,,,,"07:39
12:08
12:23
","08:01
12:08
12:36
17:09
","08:02
12:06
12:40
17:05
","07:59
12:04
12:43
17:08
","07:59
12:07
17:05
",,,"07:38
12:07
12:25
17:07
","07:59
12:05
12:24
17:04
","08:08
12:03
12:37
17:20
","08:07
12:07
12:24
17:14
","08:00
12:13
12:53
17:11
",,,"07:45
12:12
12:57
17:03
","07:52
12:17
12:43
",,,,,,,,,,,
303,,Admin,,,,,"07:46
12:11
12:59
17:05
","08:18
12:06
12:08
12:12
17:07
","08:04
12:46
12:51
17:05
","08:11
13:02
17:04
","08:13
12:16
12:25
17:02
",,,"07:53
12:08
12:15
17:04
","08:13
12:44
12:47
17:05
","08:15
12:52
12:56
17:03
",,"08:06
12:31
12:35
",,,,"07:56
12:06
12:14
",,,,,,,,,,,
23,,Admin,,,,,"07:22
12:02
12:49
17:01
","08:02
12:12
12:42
17:03
","07:49
12:05
12:10
17:02
","07:50
12:12
12:57
17:01
","07:53
12:13
12:44
17:02
",,,"07:20
12:03
12:48
17:02
","08:00
12:07
12:45
17:06
","12:02
12:51
17:02
",,"07:48
",,,"07:19
12:12
12:29
17:03
","07:57
12:03
12:43
",,,,,,,,,,,
255,,Admin,,,,,"07:08
12:02
12:07
17:07
","07:39
12:03
12:10
17:05
","07:44
12:04
12:20
17:07
","07:51
12:02
12:08
17:09
","07:39
12:08
12:51
17:06
",,,"07:11
12:03
12:11
17:05
","07:53
12:06
12:51
17:02
","07:34
12:11
12:17
17:04
17:04
","07:35
12:31
12:37
17:12
","07:24
12:05
12:09
17:02
",,,"07:17
12:15
12:20
17:02
","07:36
12:01
12:05
",,,,,,,,,,,
3,,Admin,,,,,"07:59
12:07
12:15
17:19
","08:00
12:13
17:09
","08:01
12:07
12:52
17:07
17:52
","07:57
12:07
12:56
19:01
","07:50
12:01
12:58
17:11
",,,"07:59
12:10
12:55
17:04
17:31
","08:03
12:07
12:34
18:45
","08:00
12:01
12:54
17:19
","08:01
12:46
13:00
17:48
",,,,"07:56
12:04
12:07
17:29
","07:58
12:03
12:57
",,,,,,,,,,,
132,,Admin,,,,,"07:32
12:15
12:24
17:03
","07:57
12:14
12:35
17:06
","07:51
12:10
12:32
17:06
","07:56
12:09
12:56
17:03
","07:56
12:16
12:50
17:03
",,,"08:05
12:19
12:55
17:05
","08:06
12:12
13:00
17:01
","07:57
12:11
12:54
17:01
","08:21
12:10
12:59
17:03
",,,,"07:56
12:08
12:53
17:01
","08:05
12:26
12:55
",,,,,,,,,,,
61,,Admin,,,,,"07:44
12:24
12:49
","08:03
12:30
",,,,,,,,,,,,,"07:22
12:13
12:24
17:03
","12:08
12:14
",,,,,,,,,,,
67,,Admin,,,,,"07:44
12:59
13:00
17:07
","12:06
12:06
12:11
12:11
20:42
","07:12
12:18
12:32
17:04
","07:09
12:15
12:18
19:28
","09:14
12:10
12:18
17:11
",,,"06:44
12:45
12:59
17:04
","07:12
12:31
12:41
21:33
21:34
","07:31
12:52
13:00
17:03
",,,,"06:55
16:17
","07:18
12:28
12:38
20:54
","06:28
12:49
12:58
",,,,,,,,,,,
77,,Admin,,,,,"07:25
12:47
12:52
17:04
","07:45
12:47
12:55
17:06
","07:59
","08:45
12:05
12:17
17:09
","07:45
12:02
12:17
17:03
",,,"07:28
12:11
12:55
17:08
","07:49
12:16
12:28
17:05
","07:51
17:05
","12:08
12:58
17:05
","07:58
12:21
12:26
17:01
",,,"12:09
12:17
17:03
","07:47
12:03
12:46
",,,,,,,,,,,
13,,Admin,,,,,"06:55
12:13
12:28
17:04
17:04
","07:47
12:51
12:59
17:37
","07:45
12:08
12:52
17:15
","07:38
12:07
12:16
17:54
","07:45
12:10
12:18
17:11
",,,"07:36
12:11
12:55
17:11
","07:49
12:15
12:28
15:11
","07:51
12:46
12:55
17:06
","12:12
12:57
17:22
",,,,"07:26
12:07
12:59
17:12
","07:47
12:19
12:51
",,,,,,,,,,,
