Attendance Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Time:2026/02/02 08:24:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made Date:2026/01/01-2026/01/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee ID,Name,Department,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,DIALYSIS,,"11:16
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,DIALYSIS,,,"07:31
",,"07:26
","07:34
12:05
12:26
17:02
","07:22
12:05
12:43
17:01
","07:50
12:04
12:41
12:41
17:01
","07:24
12:16
12:39
17:01
","09:48
18:01
",,,"07:31
12:16
12:33
17:00
","07:32
12:14
12:31
17:01
","07:57
12:01
12:21
17:00
","07:10
12:05
12:19
17:00
","07:06
12:13
12:13
12:29
17:01
",,,"07:11
12:02
12:27
17:01
","07:07
12:02
12:35
17:01
","07:28
12:00
12:42
17:02
","07:56
12:10
12:24
17:00
","07:24
12:23
12:34
17:00
",,,"07:28
12:07
12:33
17:00
","07:17
12:07
12:28
17:00
","07:19
12:12
12:49
17:01
","07:28
12:02
12:28
17:00
","07:25
12:00
12:35
"
340,,DIALYSIS,"07:34
",,,,"07:56
17:00
","07:47
12:05
12:31
17:01
","08:06
12:05
12:34
12:34
17:01
","07:43
12:04
12:41
17:01
17:01
","07:33
12:14
17:01
",,,"07:50
12:03
12:24
17:01
","07:55
12:01
12:34
17:00
","07:47
07:47
12:13
12:43
17:01
","07:51
12:00
17:00
","07:42
12:05
12:47
17:00
",,,"07:41
12:17
12:33
17:01
","07:55
12:02
17:01
","07:48
12:06
12:39
17:01
","07:48
12:00
12:30
17:00
","07:29
12:30
12:39
17:00
",,,"07:30
12:17
17:02
","12:00
12:23
17:00
","07:56
12:07
12:28
17:00
","07:47
12:25
12:52
17:00
","07:57
12:02
12:02
12:24
17:00
",
323,,DIALYSIS,,,,,"07:50
12:06
12:28
17:01
","07:52
12:21
12:31
17:01
","07:50
12:11
12:38
17:44
","07:55
12:02
12:28
","07:56
12:10
12:28
17:01
",,,"07:58
12:06
12:35
17:00
","07:54
12:06
12:34
17:00
","07:59
12:01
12:19
12:31
18:55
","07:53
12:00
12:22
17:00
","08:03
12:07
12:28
17:04
",,,"07:52
12:18
12:28
17:01
","07:56
12:06
12:17
17:00
","07:56
12:15
12:28
17:00
","08:00
12:03
12:18
17:00
","07:57
12:07
12:24
17:00
",,,"07:57
12:03
12:20
17:01
","07:42
12:02
12:27
17:02
","08:00
12:07
12:29
",,,
501,,DIALYSIS,,,,,"07:30
12:06
12:28
17:00
","07:51
12:03
12:20
17:01
","07:47
12:11
12:31
17:01
","07:47
12:02
12:28
17:01
","07:42
12:10
12:30
17:01
","07:49
12:04
12:11
17:01
",,,"07:50
12:06
12:34
17:00
","07:56
12:01
12:19
17:00
",,"07:03
12:06
12:28
17:01
","07:50
12:09
12:17
17:00
",,,"07:46
12:06
12:29
17:01
","07:49
12:05
12:28
17:00
","07:54
12:05
12:18
17:00
","07:44
12:08
12:23
17:00
","07:48
07:49
12:04
12:35
17:00
",,,"07:59
12:02
12:23
17:02
","07:17
12:07
12:29
17:01
","07:42
12:03
12:26
17:01
","07:42
12:01
12:14
17:00
","07:43
12:00
12:16
17:00
"
69,,DIALYSIS,,,,,"07:42
12:10
12:38
17:29
","07:51
12:13
12:41
17:06
","08:00
12:01
12:43
17:51
","08:05
17:26
","07:59
12:11
12:33
18:08
",,,"07:38
12:21
12:36
17:14
","08:09
12:15
12:43
18:15
","07:54
12:25
12:54
18:04
","07:58
12:00
17:01
",,,,"07:54
12:12
12:53
17:01
","07:49
12:04
12:26
17:29
","08:01
12:41
17:11
","08:06
12:05
12:19
18:03
","08:05
12:11
12:23
17:14
",,,"07:45
12:32
12:52
17:05
",,,,"08:09
12:09
12:33
17:06
",
46,,DIALYSIS,,,"07:35
12:04
12:45
17:00
",,,"07:41
12:13
12:41
17:13
",,,"07:54
12:10
12:10
12:30
18:08
","07:31
12:03
12:20
17:57
",,,"07:56
12:01
12:44
12:44
17:21
","07:54
12:19
12:54
17:01
","07:50
12:00
12:21
17:01
","08:00
12:17
12:45
17:00
","07:42
12:13
12:49
17:00
",,,"07:39
12:00
12:26
12:56
17:29
","07:57
12:20
12:41
17:11
","07:16
17:27
","07:57
17:13
",,,"06:33
12:33
12:52
17:03
","07:35
12:07
12:33
18:33
","07:52
11:58
12:54
12:57
17:05
","07:41
12:10
12:51
17:00
","07:47
12:04
12:20
12:21
17:00
","07:44
12:19
12:48
14:47
"
333,,DIALYSIS,,,,,,"07:32
12:03
12:21
17:01
","07:05
12:01
12:42
17:01
","07:10
12:12
12:40
17:00
","07:18
12:14
12:51
17:00
","07:15
12:19
12:50
15:46
",,,"07:21
12:01
12:35
17:00
","07:13
07:13
12:14
12:39
17:00
","07:14
12:01
17:00
","07:16
12:02
12:47
17:00
","07:02
12:17
12:29
16:04
",,,"07:11
12:31
12:46
17:00
","07:21
12:00
12:28
17:01
","07:50
12:03
12:42
17:03
","07:12
12:31
12:50
17:09
","07:18
12:02
12:41
17:00
",,,"06:59
12:10
17:01
","07:14
07:14
12:07
12:54
17:03
","06:54
12:03
12:45
17:00
","07:07
12:04
12:43
17:00
","07:00
12:10
12:55
"
